Kod;Nazwa;Ważniejsze przyczyny wypadków;Rok;Wartosc;Jednostka miary;Region_Type
0;POLSKA;ogółem;2014;-;szt.;kraj
0;POLSKA;ogółem;2015;-;szt.;kraj
0;POLSKA;ogółem;2016;-;szt.;kraj
0;POLSKA;ogółem;2017;-;szt.;kraj
0;POLSKA;ogółem;2018;-;szt.;kraj
0;POLSKA;ogółem;2019;-;szt.;kraj
0;POLSKA;ogółem;2020;-;szt.;kraj
0;POLSKA;ogółem;2021;-;szt.;kraj
0;POLSKA;ogółem;2022;-;szt.;kraj
0;POLSKA;ogółem;2023;20913;szt.;kraj
0;POLSKA;wina kierujących pojazdami - ogółem;2014;28716;szt.;kraj
0;POLSKA;wina kierujących pojazdami - ogółem;2015;27307;szt.;kraj
0;POLSKA;wina kierujących pojazdami - ogółem;2016;29081;szt.;kraj
0;POLSKA;wina kierujących pojazdami - ogółem;2017;28359;szt.;kraj
0;POLSKA;wina kierujących pojazdami - ogółem;2018;27507;szt.;kraj
0;POLSKA;wina kierujących pojazdami - ogółem;2019;26534;szt.;kraj
0;POLSKA;wina kierujących pojazdami - ogółem;2020;20999;szt.;kraj
0;POLSKA;wina kierujących pojazdami - ogółem;2021;20623;szt.;kraj
0;POLSKA;wina kierujących pojazdami - ogółem;2022;19391;szt.;kraj
0;POLSKA;wina kierujących pojazdami - ogółem;2023;19058;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2014;7489;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2015;6807;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2016;7195;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2017;6837;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2018;6219;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2019;6268;szt.;kraj
