Kod;Nazwa;Wypadki drogowe według pojazdu sprawcy;Rok;Wartosc;Jednostka miary;Region_Type
0;POLSKA;ogółem;2002;-;szt.;kraj
0;POLSKA;ogółem;2003;-;szt.;kraj
0;POLSKA;ogółem;2004;-;szt.;kraj
0;POLSKA;ogółem;2005;-;szt.;kraj
0;POLSKA;ogółem;2006;-;szt.;kraj
0;POLSKA;ogółem;2007;-;szt.;kraj
0;POLSKA;ogółem;2008;-;szt.;kraj
0;POLSKA;ogółem;2009;-;szt.;kraj
0;POLSKA;ogółem;2010;-;szt.;kraj
0;POLSKA;ogółem;2011;-;szt.;kraj
0;POLSKA;ogółem;2012;-;szt.;kraj
0;POLSKA;ogółem;2013;-;szt.;kraj
0;POLSKA;ogółem;2014;28716;szt.;kraj
0;POLSKA;ogółem;2015;27307;szt.;kraj
0;POLSKA;ogółem;2016;29081;szt.;kraj
0;POLSKA;ogółem;2017;28359;szt.;kraj
0;POLSKA;ogółem;2018;27507;szt.;kraj
0;POLSKA;ogółem;2019;26534;szt.;kraj
0;POLSKA;ogółem;2020;20999;szt.;kraj
0;POLSKA;ogółem;2021;20623;szt.;kraj
0;POLSKA;ogółem;2022;19391;szt.;kraj
0;POLSKA;ogółem;2023;19058;szt.;kraj
0;POLSKA;samochody osobowe;2002;-;szt.;kraj
0;POLSKA;samochody osobowe;2003;-;szt.;kraj
0;POLSKA;samochody osobowe;2004;-;szt.;kraj
0;POLSKA;samochody osobowe;2005;-;szt.;kraj
0;POLSKA;samochody osobowe;2006;-;szt.;kraj
0;POLSKA;samochody osobowe;2007;-;szt.;kraj
0;POLSKA;samochody osobowe;2008;-;szt.;kraj
0;POLSKA;samochody osobowe;2009;-;szt.;kraj
0;POLSKA;samochody osobowe;2010;-;szt.;kraj
0;POLSKA;samochody osobowe;2011;-;szt.;kraj
0;POLSKA;samochody osobowe;2012;-;szt.;kraj
0;POLSKA;samochody osobowe;2013;-;szt.;kraj
0;POLSKA;samochody osobowe;2014;22036;szt.;kraj
0;POLSKA;samochody osobowe;2015;21299;szt.;kraj
0;POLSKA;samochody osobowe;2016;22134;szt.;kraj
0;POLSKA;samochody osobowe;2017;21733;szt.;kraj
0;POLSKA;samochody osobowe;2018;20590;szt.;kraj
0;POLSKA;samochody osobowe;2019;19833;szt.;kraj
