Kod;Nazwa;Nietrzeźwi sprawcy;Rok;Wartosc;Jednostka miary;Atrybut
0000000;POLSKA;ogółem;2014;2539;szt.; 
0000000;POLSKA;ogółem;2015;2175;szt.; 
0000000;POLSKA;ogółem;2016;2259;szt.; 
0000000;POLSKA;ogółem;2017;2121;szt.; 
0000000;POLSKA;ogółem;2018;2076;szt.; 
0000000;POLSKA;ogółem;2019;2052;szt.; 
0000000;POLSKA;ogółem;2020;1997;szt.; 
0000000;POLSKA;ogółem;2021;1897;szt.; 
0000000;POLSKA;ogółem;2022;1714;szt.; 
0000000;POLSKA;ogółem;2023;1584;szt.; 
0000000;POLSKA;kierujący pojazdami ogółem;2014;1838;szt.; 
0000000;POLSKA;kierujący pojazdami ogółem;2015;1575;szt.; 
0000000;POLSKA;kierujący pojazdami ogółem;2016;1686;szt.; 
0000000;POLSKA;kierujący pojazdami ogółem;2017;1603;szt.; 
0000000;POLSKA;kierujący pojazdami ogółem;2018;1592;szt.; 
0000000;POLSKA;kierujący pojazdami ogółem;2019;1655;szt.; 
0000000;POLSKA;kierujący pojazdami ogółem;2020;1656;szt.; 
0000000;POLSKA;kierujący pojazdami ogółem;2021;1602;szt.; 
0000000;POLSKA;kierujący pojazdami ogółem;2022;1415;szt.; 
0000000;POLSKA;kierujący pojazdami ogółem;2023;1331;szt.; 
0000000;POLSKA;kierujący samochodami osobowymi;2014;1311;szt.; 
0000000;POLSKA;kierujący samochodami osobowymi;2015;1119;szt.; 
0000000;POLSKA;kierujący samochodami osobowymi;2016;1138;szt.; 
0000000;POLSKA;kierujący samochodami osobowymi;2017;1097;szt.; 
0000000;POLSKA;kierujący samochodami osobowymi;2018;1038;szt.; 
0000000;POLSKA;kierujący samochodami osobowymi;2019;1092;szt.; 
0000000;POLSKA;kierujący samochodami osobowymi;2020;1075;szt.; 
0000000;POLSKA;kierujący samochodami osobowymi;2021;1066;szt.; 
0000000;POLSKA;kierujący samochodami osobowymi;2022;923;szt.; 
0000000;POLSKA;kierujący samochodami osobowymi;2023;825;szt.; 
0000000;POLSKA;kierujący motocyklami;2014;89;szt.; 
0000000;POLSKA;kierujący motocyklami;2015;84;szt.; 
0000000;POLSKA;kierujący motocyklami;2016;93;szt.; 
0000000;POLSKA;kierujący motocyklami;2017;93;szt.; 
0000000;POLSKA;kierujący motocyklami;2018;104;szt.; 
0000000;POLSKA;kierujący motocyklami;2019;109;szt.; 
0000000;POLSKA;kierujący motocyklami;2020;103;szt.; 
0000000;POLSKA;kierujący motocyklami;2021;99;szt.; 
0000000;POLSKA;kierujący motocyklami;2022;83;szt.; 
0000000;POLSKA;kierujący motocyklami;2023;96;szt.; 
0000000;POLSKA;kierujący rowerami;2014;212;szt.; 
0000000;POLSKA;kierujący rowerami;2015;177;szt.; 
0000000;POLSKA;kierujący rowerami;2016;214;szt.; 
0000000;POLSKA;kierujący rowerami;2017;192;szt.; 
0000000;POLSKA;kierujący rowerami;2018;215;szt.; 
0000000;POLSKA;kierujący rowerami;2019;243;szt.; 
0000000;POLSKA;kierujący rowerami;2020;239;szt.; 
0000000;POLSKA;kierujący rowerami;2021;180;szt.; 
0000000;POLSKA;kierujący rowerami;2022;159;szt.; 
0000000;POLSKA;kierujący rowerami;2023;176;szt.; 
0000000;POLSKA;kierujący motorowerami;2014;157;szt.; 
0000000;POLSKA;kierujący motorowerami;2015;121;szt.; 
0000000;POLSKA;kierujący motorowerami;2016;150;szt.; 
0000000;POLSKA;kierujący motorowerami;2017;135;szt.; 
0000000;POLSKA;kierujący motorowerami;2018;135;szt.; 
0000000;POLSKA;kierujący motorowerami;2019;126;szt.; 
0000000;POLSKA;kierujący motorowerami;2020;118;szt.; 
0000000;POLSKA;kierujący motorowerami;2021;94;szt.; 
0000000;POLSKA;kierujący motorowerami;2022;91;szt.; 
