Kod;Nazwa;Wypadki drogowe według pojazdu sprawcy;Rok;Wartosc;Jednostka miary;Atrybut
0000000;POLSKA;ogółem;2002;-;szt.; 
0000000;POLSKA;ogółem;2003;-;szt.; 
0000000;POLSKA;ogółem;2004;-;szt.; 
0000000;POLSKA;ogółem;2005;-;szt.; 
0000000;POLSKA;ogółem;2006;-;szt.; 
0000000;POLSKA;ogółem;2007;-;szt.; 
0000000;POLSKA;ogółem;2008;-;szt.; 
0000000;POLSKA;ogółem;2009;-;szt.; 
0000000;POLSKA;ogółem;2010;-;szt.; 
0000000;POLSKA;ogółem;2011;-;szt.; 
0000000;POLSKA;ogółem;2012;-;szt.; 
0000000;POLSKA;ogółem;2013;-;szt.; 
0000000;POLSKA;ogółem;2014;28716;szt.; 
0000000;POLSKA;ogółem;2015;27307;szt.; 
0000000;POLSKA;ogółem;2016;29081;szt.; 
0000000;POLSKA;ogółem;2017;28359;szt.; 
0000000;POLSKA;ogółem;2018;27507;szt.; 
0000000;POLSKA;ogółem;2019;26534;szt.; 
0000000;POLSKA;ogółem;2020;20999;szt.; 
0000000;POLSKA;ogółem;2021;20623;szt.; 
0000000;POLSKA;ogółem;2022;19391;szt.; 
0000000;POLSKA;ogółem;2023;19058;szt.; 
0000000;POLSKA;samochody osobowe;2002;-;szt.; 
0000000;POLSKA;samochody osobowe;2003;-;szt.; 
0000000;POLSKA;samochody osobowe;2004;-;szt.; 
0000000;POLSKA;samochody osobowe;2005;-;szt.; 
0000000;POLSKA;samochody osobowe;2006;-;szt.; 
0000000;POLSKA;samochody osobowe;2007;-;szt.; 
0000000;POLSKA;samochody osobowe;2008;-;szt.; 
0000000;POLSKA;samochody osobowe;2009;-;szt.; 
0000000;POLSKA;samochody osobowe;2010;-;szt.; 
0000000;POLSKA;samochody osobowe;2011;-;szt.; 
0000000;POLSKA;samochody osobowe;2012;-;szt.; 
0000000;POLSKA;samochody osobowe;2013;-;szt.; 
0000000;POLSKA;samochody osobowe;2014;22036;szt.; 
0000000;POLSKA;samochody osobowe;2015;21299;szt.; 
0000000;POLSKA;samochody osobowe;2016;22134;szt.; 
0000000;POLSKA;samochody osobowe;2017;21733;szt.; 
0000000;POLSKA;samochody osobowe;2018;20590;szt.; 
0000000;POLSKA;samochody osobowe;2019;19833;szt.; 
0000000;POLSKA;samochody osobowe;2020;15429;szt.; 
0000000;POLSKA;samochody osobowe;2021;15066;szt.; 
0000000;POLSKA;samochody osobowe;2022;13959;szt.; 
0000000;POLSKA;samochody osobowe;2023;14013;szt.; 
0000000;POLSKA;motocykle;2002;-;szt.; 
0000000;POLSKA;motocykle;2003;-;szt.; 
0000000;POLSKA;motocykle;2004;-;szt.; 
0000000;POLSKA;motocykle;2005;-;szt.; 
0000000;POLSKA;motocykle;2006;-;szt.; 
0000000;POLSKA;motocykle;2007;-;szt.; 
0000000;POLSKA;motocykle;2008;-;szt.; 
0000000;POLSKA;motocykle;2009;-;szt.; 
0000000;POLSKA;motocykle;2010;-;szt.; 
0000000;POLSKA;motocykle;2011;-;szt.; 
0000000;POLSKA;motocykle;2012;-;szt.; 
0000000;POLSKA;motocykle;2013;-;szt.; 
0000000;POLSKA;motocykle;2014;1023;szt.; 
0000000;POLSKA;motocykle;2015;855;szt.; 
0000000;POLSKA;motocykle;2016;995;szt.; 
0000000;POLSKA;motocykle;2017;738;szt.; 
0000000;POLSKA;motocykle;2018;848;szt.; 
0000000;POLSKA;motocykle;2019;856;szt.; 
0000000;POLSKA;motocykle;2020;747;szt.; 
0000000;POLSKA;motocykle;2021;694;szt.; 
0000000;POLSKA;motocykle;2022;601;szt.; 
0000000;POLSKA;motocykle;2023;592;szt.; 
0000000;POLSKA;motocykle o pojemności silnika do 125 cm3;2002;-;szt.; 
0000000;POLSKA;motocykle o pojemności silnika do 125 cm3;2003;-;szt.; 
0000000;POLSKA;motocykle o pojemności silnika do 125 cm3;2004;-;szt.; 
0000000;POLSKA;motocykle o pojemności silnika do 125 cm3;2005;-;szt.; 
0000000;POLSKA;motocykle o pojemności silnika do 125 cm3;2006;-;szt.; 
